city_name,country_code,random_latitude,random_longitude,latitude,longitude,Temperature,Humidity,Cloudiness,Wind_speed
tateyama,jp,20.77999999997796,144.94000000016626,36.66,137.31,18,72,75,3.1
minab,ir,25.679999999976985,58.02000000012177,27.15,57.07,31,31,0,2.1
acajutla,sv,7.719999999980558,-92.07999999995502,13.59,-89.83,24.39,89,44,1.52
rensvik,no,63.37999999996947,8.160000000096261,63.1,7.82,8.45,70,75,1
san angelo,us,30.97999999997593,-101.07999999995963,31.46,-100.44,15,44,1,1.5
ewo,cg,-1.0200000000177027,15.460000000099996,-0.88,14.81,22.39,92,48,2.07
hambantota,lk,0.7999999999819352,87.12000000013666,6.12,81.12,30.39,95,0,0.82
bardiyah,ly,28.71999999997638,25.46000000010511,31.76,25.09,16.39,96,0,2.42
simbahan,ph,6.579999999980785,119.6400000001533,6.3,120.58,29.19,100,20,2.07
deputatskiy,ru,74.8799999999672,142.04000000016475,69.3,139.9,-0.11,83,80,5.22
shihezi,cn,43.59999999997342,86.18000000013615,44.3,86.03,26.79,15,0,3.42
sovetskiy,ru,73.49999999996749,67.70000000012672,56.76,48.47,-2.01,93,88,7.92
clovis,us,37.639999999974606,-119.31999999996896,36.83,-119.7,22.37,53,1,2.6
baay,ph,18.11999999997849,120.60000000015378,16.01,120.22,30.39,93,8,2.27
tuli,ph,7.339999999980634,125.40000000015624,7.23,125.42,33,59,40,3.6
clarence town,bs,23.779999999977363,-75.49999999994654,23.1,-74.98,24.44,100,56,6.92
hokitika,nz,-42.44000000000946,169.06000000017855,-42.72,170.96,12.14,100,92,1.77
coos bay,us,42.1999999999737,-128.81999999997382,43.37,-124.22,7.91,87,1,2.6
rosaryville,us,38.579999999974405,-76.53999999994707,38.76,-76.81,11.81,57,90,4.1
fare,pf,-10.960000000015725,-147.87999999998357,-16.7,-151.02,27.49,100,8,3.02
afua,br,-0.44000000001781814,-50.43999999993372,-0.16,-50.39,24.79,100,100,2.32
hervey bay,au,-23.520000000013226,154.4400000001711,-25.3,152.85,23.54,97,24,5.32
wanxian,cn,31.519999999975823,109.02000000014789,30.8,108.39,20.04,95,92,1.37
guane,cu,22.359999999977646,-84.03999999995091,22.2,-84.09,21.84,92,20,1.52
bundaberg,au,-20.08000000001391,156.24000000017202,-24.87,152.35,24.34,99,8,6.67
port lincoln,au,-37.7400000000104,133.82000000016058,-34.72,135.86,24.64,57,92,4.47
esperance,au,-34.980000000010946,125.1200000001561,-33.86,121.89,22.69,45,0,6.47
kerema,pg,-7.940000000016326,145.74000000016667,-7.96,145.78,23.79,97,92,1.32
texarkana,us,34.03999999997532,-94.25999999995614,33.44,-94.04,12,87,90,3.6
vao,nc,-27.940000000012347,168.8600000001785,-22.67,167.48,25.34,97,76,8.27
cairns,au,-15.440000000014834,145.82000000016671,-16.92,145.77,27,65,40,6.7
mbini,gq,1.8999999999817163,8.240000000096302,1.58,9.62,26.14,100,76,1.47
baie-comeau,ca,50.01999999997213,-68.09999999994275,49.22,-68.15,2.42,32,20,2.6
gayny,ru,61.299999999969884,54.88000000012016,60.3,54.33,4.19,93,88,2.07
palmer,us,62.3799999999697,-147.25999999998325,61.6,-149.11,7.01,75,75,2.6
berlevag,no,88.3999999999645,32.02000000010847,70.86,29.09,0.66,86,75,4.1
taiyuan,cn,37.45999999997464,112.36000000014957,37.86,112.56,19,52,0,2
komsomolskiy,ru,68.49999999996845,172.6000000001804,67.55,63.78,-7.96,96,68,3.97
castle rock,us,39.399999999974256,-104.89999999996158,46.27,-122.91,10.17,75,0,1.62
sandwick,gb,58.579999999970426,0.7800000000924854,54.57,-2.89,6,100,92,11.8
teahupoo,pf,-19.520000000014022,-148.63999999998396,-17.83,-149.27,26,74,40,3.1
richards bay,za,-34.340000000011074,37.50000000011127,-28.77,32.06,19.54,84,0,1.47
tsabong,bw,-25.940000000012745,21.580000000103126,-26.02,22.4,13.94,39,0,2.42
ambatofinandrahana,mg,-20.18000000001389,46.10000000011567,-20.55,46.8,19.69,84,0,1.67
tiarei,pf,-12.200000000015478,-146.27999999998275,-17.53,-149.33,26,74,40,3.1
takab,ir,36.179999999974896,47.340000000116305,36.4,47.11,5.59,86,32,1.27
pedernales,do,15.419999999979026,-71.23999999994436,18.04,-71.74,24.49,100,12,3.62
chapais,ca,52.899999999971556,-74.41999999994599,49.78,-74.86,-5,73,1,2.12
tsumeb,na,-18.000000000014325,17.800000000101193,-19.25,17.72,15.54,45,0,3.62
hobyo,so,2.359999999981625,53.68000000011955,5.35,48.53,27.04,100,24,2.77
nerchinskiy zavod,ru,51.699999999971794,119.94000000015342,51.31,119.61,16.24,26,0,4.12
baglung,np,28.559999999976412,83.4800000001348,28.27,83.59,24.14,29,0,0.72
lufilufi,ws,-6.000000000016712,-167.25999999999348,-13.87,-171.6,27,83,75,3.1
hare bay,ca,50.21999999997212,-53.43999999993525,48.86,-53.99,-2,74,20,3.1
shenjiamen,cn,30.73999999997598,122.92000000015497,29.96,122.3,20.04,90,88,6.77
havre-saint-pierre,ca,55.079999999971136,-62.979999999940134,50.23,-63.6,0,79,40,3.6
kiunga,pg,-5.700000000016772,140.46000000016397,-6.12,141.3,25.49,91,92,1.22
kenai,us,60.17999999997011,-151.41999999998538,60.55,-151.26,7.51,58,90,5.7
ravar,ir,31.799999999975768,57.00000000012125,31.27,56.81,24.64,23,92,4.12
batemans bay,au,-39.80000000000999,154.220000000171,-35.71,150.18,19.59,84,12,1.57
boende,cd,-2.14000000001748,21.620000000103147,-0.28,20.88,24.99,90,76,1.37
ust-kulom,ru,62.299999999969714,53.54000000011948,61.69,53.69,-1.91,78,92,5.82
vysokogornyy,ru,51.119999999971924,139.3400000001634,50.1,139.13,4.79,55,88,3.62
belmopan,bz,16.839999999978744,-88.69999999995329,17.25,-88.77,26.14,75,88,1.67
ormara,pk,25.55999999997701,64.60000000012514,25.21,64.64,30.49,58,0,1.57
kinna,se,57.35999999997068,12.580000000098522,57.51,12.69,6,75,0,6.7
nishihara,jp,20.439999999978028,132.64000000015994,35.74,139.53,17.19,63,75,3.6
cayenne,gf,14.239999999979261,-40.639999999928705,4.94,-52.33,24,100,75,2.52
kirriemuir,gb,56.77999999997081,-3.13999999990952,56.67,-3.01,10,76,20,9.8
fredericksburg,us,38.35999999997446,-77.33999999994748,38.3,-77.46,10.59,62,90,1.5
wuning,cn,29.17999999997629,120.32000000015364,29.26,120.23,21.34,100,92,1.67
pacific grove,us,33.19999999997549,-126.99999999997289,36.62,-121.92,12.48,76,1,1.12
porto walter,br,-9.460000000016024,-73.53999999994554,-8.27,-72.74,23.29,96,80,0.92
carutapera,br,9.11999999998028,-41.17999999992898,-1.2,-46.02,24.69,99,64,1.62
ruidoso,us,34.1399999999753,-105.29999999996178,33.33,-105.67,16.19,30,1,3.1
havoysund,no,79.99999999996618,24.60000000010467,71,24.66,0.13,74,0,1.5
coihaique,cl,-47.82000000000839,-77.39999999994751,-45.58,-72.07,4.88,75,0,1.5
shimoda,jp,20.859999999977944,143.3200000001654,34.7,138.93,19.91,82,75,5.7
blagoyevo,ru,64.47999999996927,47.94000000011661,63.37,47.92,-1.31,61,0,3.87
marsabit,ke,1.499999999981796,38.18000000011162,2.34,37.99,23.29,100,68,1.77
sao jose de ribamar,br,-1.7800000000175515,-43.7599999999303,-2.56,-44.05,25,94,75,2.6
tahta,eg,23.659999999977387,27.480000000106145,26.77,31.5,18.94,37,0,2.12
barvinkove,ua,49.159999999972314,36.960000000110995,48.91,37.03,10.19,52,36,3.52
kollam,in,8.539999999980395,75.4800000001307,8.88,76.6,33,63,20,4.6
port-gentil,ga,-0.44000000001781814,8.340000000096353,-0.72,8.78,27,88,40,2.27
voyvozh,ru,63.11999999996954,55.46000000012046,62.89,54.96,-3.56,91,88,7.22
tessalit,ml,22.479999999977622,2.0800000000931504,20.2,1.01,18.64,30,0,2.87
bulungu,cd,-4.5800000000169945,18.680000000101643,-4.54,18.6,22.04,95,88,1.97
westport,nz,-38.960000000010155,166.26000000017711,-41.75,171.6,10.89,100,32,1.07
esmeraldas,ec,1.2799999999818397,-79.73999999994871,-1.87,-79.8,25,78,75,2.6
borzya,ru,50.39999999997207,116.62000000015178,50.39,116.53,15.49,33,0,7.47
