city_name,country_code,random_latitude,random_longitude,latitude,longitude,Temperature,Humidity,Cloudiness,Wind_speed
port alfred,za,-60.56000000000586,40.58000000011285,-33.59,26.89,17.04,100,8,2.47
evensk,ru,61.2799999999699,159.84000000017386,61.92,159.24,1.24,83,0,2.97
mecca,sa,21.419999999977833,42.900000000114034,21.43,39.83,29,83,20,0.52
sao joao da barra,br,-29.560000000012025,-29.679999999923098,-21.64,-41.05,25.29,98,92,4.32
mogadishu,so,1.2199999999818516,45.80000000011552,2.04,45.34,28,83,0,3.02
ixtapa,mx,9.11999999998028,-106.05999999996217,20.71,-105.21,23,100,75,0.82
nome,us,65.97999999996898,-164.5599999999921,30.04,-94.42,13.74,82,1,1.5
flinders,au,-32.80000000001138,129.06000000015808,-34.58,150.85,20.54,73,20,1.52
sola,vu,-11.200000000015677,171.7000000001799,-13.88,167.55,27.89,94,88,6.02
tommot,ru,57.7599999999706,127.04000000015708,58.97,126.27,9.54,56,48,2.62
leningradskiy,ru,79.95999999996619,179.96000000018415,69.38,178.42,-9.11,86,0,7.17
channel-port aux basques,ca,47.69999999997259,-59.659999999938435,47.57,-59.14,0.24,93,0,7.02
obihiro,jp,42.47999999997364,143.4200000001655,42.92,143.2,11,55,75,5.7
altamira,br,-3.7000000000171696,-51.41999999993422,-3.2,-52.21,23.69,96,80,1.82
touros,br,0.29999999998203464,-34.599999999925615,-5.2,-35.46,23.94,100,80,3.57
fazilka,in,30.419999999976042,73.9200000001299,30.41,74.03,31.74,43,0,1.92
kavaratti,in,8.639999999980375,68.72000000012724,10.57,72.64,30.89,99,12,1.62
ribas do rio pardo,br,-20.24000000001388,-53.17999999993512,-20.45,-53.76,16.69,78,0,1.17
ponta delgada,pt,32.1399999999757,-26.27999999992136,37.73,-25.67,15,82,20,3.1
rehoboth,na,-23.480000000013234,17.920000000101254,-23.31,17.08,6.69,61,0,1.17
dakar,sn,16.879999999978736,-19.339999999917808,14.69,-17.45,19.04,96,12,6.47
gwadar,pk,24.279999999977264,62.20000000012391,25.12,62.33,28.34,69,0,1.77
fairbanks,us,62.679999999969624,-142.75999999998095,64.84,-147.72,7.7,39,1,4.1
jasidih,in,24.679999999977184,86.74000000013643,24.51,86.65,36.34,21,0,2.97
albania,co,10.959999999979914,-72.37999999994494,5.76,-73.91,16.49,95,92,1.42
natal,br,-1.6000000000175874,-25.71999999992107,-5.81,-35.21,24,88,20,1.5
sechura,pe,-10.040000000015908,-86.21999999995202,-5.56,-80.82,20.64,81,0,3.97
dunedin,nz,-51.020000000007755,173.52000000018086,-45.87,170.5,14.24,55,36,2.52
